Nombre de la Imagen,Movimiento
imagen_0000.jpg,Derecha
imagen_0001.jpg,Avanzar
imagen_0002.jpg,Avanzar
imagen_0003.jpg,Izquierda
imagen_0004.jpg,Izquierda
imagen_0005.jpg,Estacionado
imagen_0006.jpg,Estacionado
imagen_0007.jpg,Estacionado
imagen_0008.jpg,Estacionado
imagen_0009.jpg,Estacionado
imagen_0010.jpg,Estacionado
imagen_0011.jpg,Estacionado
imagen_0012.jpg,Estacionado
imagen_0013.jpg,Estacionado
imagen_0014.jpg,Estacionado
imagen_0015.jpg,Estacionado
imagen_0016.jpg,Estacionado
imagen_0017.jpg,Estacionado
imagen_0018.jpg,Estacionado
imagen_0019.jpg,Estacionado
imagen_0020.jpg,Estacionado
imagen_0021.jpg,Estacionado
imagen_0022.jpg,Estacionado
imagen_0023.jpg,Estacionado
imagen_0024.jpg,Estacionado
imagen_0025.jpg,Derecha
imagen_0026.jpg,Derecha
imagen_0027.jpg,Derecha
imagen_0028.jpg,Avanzar
imagen_0029.jpg,Avanzar
imagen_0030.jpg,Avanzar
imagen_0031.jpg,Izquierda
imagen_0032.jpg,Izquierda
imagen_0033.jpg,Izquierda
imagen_0034.jpg,Derecha
imagen_0035.jpg,Estacionado
imagen_0036.jpg,Estacionado
imagen_0037.jpg,Estacionado
imagen_0038.jpg,Estacionado
imagen_0039.jpg,Estacionado
imagen_0040.jpg,Estacionado
imagen_0041.jpg,Estacionado
imagen_0042.jpg,Estacionado
imagen_0043.jpg,Estacionado
imagen_0044.jpg,Estacionado
imagen_0045.jpg,Estacionado
imagen_0046.jpg,Estacionado
imagen_0047.jpg,Estacionado
imagen_0048.jpg,Estacionado
imagen_0049.jpg,Estacionado
imagen_0050.jpg,Estacionado
imagen_0051.jpg,Estacionado
imagen_0052.jpg,Estacionado
imagen_0053.jpg,Estacionado
imagen_0054.jpg,Estacionado
imagen_0055.jpg,Estacionado
imagen_0056.jpg,Estacionado
imagen_0057.jpg,Estacionado
imagen_0058.jpg,Estacionado
imagen_0059.jpg,Estacionado
imagen_0060.jpg,Estacionado
imagen_0061.jpg,Estacionado
imagen_0062.jpg,Estacionado
imagen_0063.jpg,Derecha
imagen_0064.jpg,Derecha
imagen_0065.jpg,Avanzar
imagen_0066.jpg,Avanzar
imagen_0067.jpg,Avanzar
imagen_0068.jpg,Avanzar
imagen_0069.jpg,Estacionado
imagen_0070.jpg,Estacionado
imagen_0071.jpg,Estacionado
imagen_0072.jpg,Estacionado
imagen_0073.jpg,Estacionado
imagen_0074.jpg,Izquierda
imagen_0075.jpg,Avanzar
imagen_0076.jpg,Avanzar
imagen_0077.jpg,Avanzar
imagen_0078.jpg,Avanzar
imagen_0079.jpg,Derecha
imagen_0080.jpg,Avanzar
imagen_0081.jpg,Derecha
imagen_0082.jpg,Izquierda
imagen_0083.jpg,Izquierda
imagen_0084.jpg,Estacionado
imagen_0085.jpg,Estacionado
imagen_0086.jpg,Estacionado
imagen_0087.jpg,Estacionado
imagen_0088.jpg,Estacionado
imagen_0089.jpg,Avanzar
imagen_0090.jpg,Derecha
imagen_0091.jpg,Izquierda
imagen_0092.jpg,Avanzar
imagen_0093.jpg,Avanzar
imagen_0094.jpg,Avanzar
imagen_0095.jpg,Izquierda
imagen_0096.jpg,Estacionado
imagen_0097.jpg,Estacionado
imagen_0098.jpg,Estacionado
imagen_0099.jpg,Estacionado
imagen_0100.jpg,Estacionado
imagen_0101.jpg,Avanzar
imagen_0102.jpg,Avanzar
imagen_0103.jpg,Derecha
imagen_0104.jpg,Avanzar
imagen_0105.jpg,Avanzar
imagen_0106.jpg,Estacionado
imagen_0107.jpg,Estacionado
imagen_0108.jpg,Estacionado
imagen_0109.jpg,Estacionado
imagen_0110.jpg,Estacionado
imagen_0111.jpg,Avanzar
imagen_0112.jpg,Derecha
imagen_0113.jpg,Derecha
imagen_0114.jpg,Izquierda
imagen_0115.jpg,Avanzar
imagen_0116.jpg,Avanzar
imagen_0117.jpg,Avanzar
imagen_0118.jpg,Izquierda
imagen_0119.jpg,Derecha
imagen_0120.jpg,Estacionado
imagen_0121.jpg,Estacionado
imagen_0122.jpg,Estacionado
